Producto,AlbaranTransito,None,AlbaranOrigen,None,AlbaranOrigen,IDInterno,IDInterno
'SoftPrep Solucion EDTA 17% // 2 jeringas x 6 g // 6 puntas de aplicación.', 'TRANSITO - TIENDA LIMA/00101', None, 'LA PLATA - TIENDA LIMA/00163', None, 'LA PLATA - TIENDA LIMA/00163', 4024, 4023
'Pieza de mano HW-3H UDS.A,UDS.L', 'TRANSITO - TIENDA LIMA/00208', None, 'LA PLATA - TIENDA LIMA/00288', 'LA PLATA - TIENDA LIMA/00288', 'LA PLATA - TIENDA LIMA/00288', 7308, 7307
'Fibra Optica. Tipo A Negro Woodpecker', 'TRANSITO - TIENDA LIMA/00105', None, 'LA PLATA - TIENDA LIMA/00163', None, 'LA PLATA - TIENDA LIMA/00163', 4076, 4023
'Curing Light  LED.H Azul. Woodpecker', 'TRANSITO - TIENDA LIMA/00121', None, 'LA PLATA - TIENDA LIMA/00180', 'LA PLATA - TIENDA LIMA/00180', 'LA PLATA - TIENDA LIMA/00180', 4631, 4630
'Root Canal File: K-File SS, 21mm #45-80 6pcs/blister', 'TRANSITO - TIENDA LIMA/00094', None, 'LA PLATA - TIENDA LIMA/00151', 'LA PLATA - TIENDA LIMA/00151', 'LA PLATA - TIENDA LIMA/00151', 3719, 3718
'[WGNT] Non-Woven Sponges  2x2 / 4PLY / 200 und.', 'TRANSITO - LOS OLIVOS/00074', None, 'PRODIS- LOS OLIVOS/00036', None, None, 4375, None
'[WGNT] Non-Woven Sponges  2x2 / 4PLY / 200 und.', 'TRANSITO - LA PLATA/00334', None, 'LOS OLIVOS:LAS PLATAS/00282', None, None, 7574, None
'Paperpoint 04T#30 Spident ', 'TRANSITO - TIENDA LIMA/00072', None, 'LA PLATA - TIENDA LIMA/00110', None, 'LA PLATA - TIENDA LIMA/00110', 2600, 2544
'SoftPrep Solucion EDTA 17% // 4 jeringas x 1.5 g // 6 puntas de aplicación.', 'TRANSITO - TIENDA LIMA/00197', None, 'LA PLATA - TIENDA LIMA/00276', 'LA PLATA - TIENDA LIMA/00276', 'LA PLATA - TIENDA LIMA/00276', 7003, 7002
'[RN02] Micromotor RENHE119-35E Completo', 'TRANSITO - LA PLATA/00313', None, 'LOS OLIVOS:LAS PLATAS/00262', None, None, 7055, None
